REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2025/08/01 00:05:00,6190.54,132.99,TRADE
QLD1,2025/08/01 00:10:00,6105.63,158.70,TRADE
QLD1,2025/08/01 00:15:00,6060.16,116.73,TRADE
QLD1,2025/08/01 00:20:00,6014.74,116.73,TRADE
QLD1,2025/08/01 00:25:00,6028.83,116.73,TRADE
QLD1,2025/08/01 00:30:00,5984.97,116.73,TRADE
QLD1,2025/08/01 00:35:00,5973.72,116.73,TRADE
QLD1,2025/08/01 00:40:00,5943.34,116.73,TRADE
QLD1,2025/08/01 00:45:00,5966.44,116.73,TRADE
QLD1,2025/08/01 00:50:00,5864.4,115.73,TRADE
QLD1,2025/08/01 00:55:00,5886.65,114.83,TRADE
QLD1,2025/08/01 01:00:00,5904.74,116.73,TRADE
QLD1,2025/08/01 01:05:00,5876.13,116.73,TRADE
QLD1,2025/08/01 01:10:00,5803.41,116.73,TRADE
QLD1,2025/08/01 01:15:00,5890.44,114.84,TRADE
QLD1,2025/08/01 01:20:00,5843.05,116.73,TRADE
QLD1,2025/08/01 01:25:00,5784.67,117.43,TRADE
QLD1,2025/08/01 01:30:00,5780.94,116.73,TRADE
QLD1,2025/08/01 01:35:00,5797.2,119.48,TRADE
QLD1,2025/08/01 01:40:00,5758.88,119.79,TRADE
QLD1,2025/08/01 01:45:00,5733.54,116.73,TRADE
QLD1,2025/08/01 01:50:00,5732.74,116.73,TRADE
QLD1,2025/08/01 01:55:00,5726.1,116.73,TRADE
QLD1,2025/08/01 02:00:00,5724.1,118.16,TRADE
QLD1,2025/08/01 02:05:00,5664.49,127.54,TRADE
QLD1,2025/08/01 02:10:00,5730.01,158.02,TRADE
QLD1,2025/08/01 02:15:00,5718.21,130.01,TRADE
QLD1,2025/08/01 02:20:00,5679.43,116.73,TRADE
QLD1,2025/08/01 02:25:00,5646.69,116.73,TRADE
QLD1,2025/08/01 02:30:00,5654.77,106.11,TRADE
QLD1,2025/08/01 02:35:00,5662.47,108.75,TRADE
QLD1,2025/08/01 02:40:00,5646.32,104.13,TRADE
QLD1,2025/08/01 02:45:00,5653.69,116.73,TRADE
QLD1,2025/08/01 02:50:00,5630.87,115.11,TRADE
QLD1,2025/08/01 02:55:00,5701.5,116.73,TRADE
QLD1,2025/08/01 03:00:00,5630.04,115.15,TRADE
QLD1,2025/08/01 03:05:00,5571.63,103.92,TRADE
QLD1,2025/08/01 03:10:00,5642.82,106.69,TRADE
QLD1,2025/08/01 03:15:00,5687.36,116.73,TRADE
QLD1,2025/08/01 03:20:00,5690.26,116.73,TRADE
QLD1,2025/08/01 03:25:00,5699.52,128.45,TRADE
QLD1,2025/08/01 03:30:00,5675.42,147.29,TRADE
QLD1,2025/08/01 03:35:00,5668.23,117.22,TRADE
QLD1,2025/08/01 03:40:00,5698.46,153.09,TRADE
QLD1,2025/08/01 03:45:00,5729.83,149.56,TRADE
QLD1,2025/08/01 03:50:00,5702.17,157.69,TRADE
QLD1,2025/08/01 03:55:00,5698.6,154.30,TRADE
QLD1,2025/08/01 04:00:00,5714.16,138.46,TRADE
QLD1,2025/08/01 04:05:00,5739.17,128.73,TRADE
QLD1,2025/08/01 04:10:00,5751.13,147.79,TRADE
QLD1,2025/08/01 04:15:00,5793.83,148.73,TRADE
QLD1,2025/08/01 04:20:00,5844.64,152.53,TRADE
QLD1,2025/08/01 04:25:00,5849.56,150.04,TRADE
QLD1,2025/08/01 04:30:00,5869.15,163.45,TRADE
QLD1,2025/08/01 04:35:00,5847.57,160.95,TRADE
QLD1,2025/08/01 04:40:00,5901.16,164.27,TRADE
QLD1,2025/08/01 04:45:00,5907.36,188.67,TRADE
QLD1,2025/08/01 04:50:00,5947.55,182.34,TRADE
QLD1,2025/08/01 04:55:00,5925.46,179.39,TRADE
QLD1,2025/08/01 05:00:00,5960.19,167.30,TRADE
QLD1,2025/08/01 05:05:00,6028.6,182.34,TRADE
QLD1,2025/08/01 05:10:00,6096.99,237.34,TRADE
QLD1,2025/08/01 05:15:00,6115.89,182.34,TRADE
QLD1,2025/08/01 05:20:00,6150.58,182.34,TRADE
QLD1,2025/08/01 05:25:00,6207.7,247.73,TRADE
QLD1,2025/08/01 05:30:00,6227.96,225.25,TRADE
QLD1,2025/08/01 05:35:00,6294.17,254.17,TRADE
QLD1,2025/08/01 05:40:00,6397.68,247.73,TRADE
QLD1,2025/08/01 05:45:00,6395.1,237.68,TRADE
QLD1,2025/08/01 05:50:00,6411.6,247.73,TRADE
QLD1,2025/08/01 05:55:00,6489.93,250.79,TRADE
QLD1,2025/08/01 06:00:00,6565.24,225.25,TRADE
QLD1,2025/08/01 06:05:00,6581.28,223.73,TRADE
QLD1,2025/08/01 06:10:00,6711.88,244.21,TRADE
QLD1,2025/08/01 06:15:00,6832.17,230,TRADE
QLD1,2025/08/01 06:20:00,6938.29,278.21,TRADE
QLD1,2025/08/01 06:25:00,6914.95,296.40,TRADE
QLD1,2025/08/01 06:30:00,6946.84,294.78,TRADE
QLD1,2025/08/01 06:35:00,7023.32,282.36,TRADE
QLD1,2025/08/01 06:40:00,7066.28,297.52,TRADE
QLD1,2025/08/01 06:45:00,7038.07,261.18,TRADE
QLD1,2025/08/01 06:50:00,7111.8,254.82,TRADE
QLD1,2025/08/01 06:55:00,7181.48,294.83,TRADE
QLD1,2025/08/01 07:00:00,7275.9,293.75,TRADE
QLD1,2025/08/01 07:05:00,7326.08,277,TRADE
QLD1,2025/08/01 07:10:00,7413.42,296.30,TRADE
QLD1,2025/08/01 07:15:00,7403.19,303.76,TRADE
QLD1,2025/08/01 07:20:00,7468.54,386.16,TRADE
QLD1,2025/08/01 07:25:00,7491.61,447.21,TRADE
QLD1,2025/08/01 07:30:00,7526.21,365.95,TRADE
QLD1,2025/08/01 07:35:00,7466.82,310.34,TRADE
QLD1,2025/08/01 07:40:00,7476.44,299.07,TRADE
QLD1,2025/08/01 07:45:00,7536.26,270.12,TRADE
QLD1,2025/08/01 07:50:00,7481.58,202.10,TRADE
QLD1,2025/08/01 07:55:00,7474.55,210.86,TRADE
QLD1,2025/08/01 08:00:00,7489.76,133.50,TRADE
QLD1,2025/08/01 08:05:00,7519.38,198.94,TRADE
QLD1,2025/08/01 08:10:00,7628.49,243.95,TRADE
QLD1,2025/08/01 08:15:00,7615.04,260.36,TRADE
QLD1,2025/08/01 08:20:00,7509.76,133,TRADE
QLD1,2025/08/01 08:25:00,7424.64,127.04,TRADE
QLD1,2025/08/01 08:30:00,7357.9,96.98,TRADE
QLD1,2025/08/01 08:35:00,7454.03,160.95,TRADE
QLD1,2025/08/01 08:40:00,7334.89,172.95,TRADE
QLD1,2025/08/01 08:45:00,7331.48,169.59,TRADE
QLD1,2025/08/01 08:50:00,7273.79,168.38,TRADE
QLD1,2025/08/01 08:55:00,7292.09,162.83,TRADE
QLD1,2025/08/01 09:00:00,7260.17,135.23,TRADE
QLD1,2025/08/01 09:05:00,7124.41,160.95,TRADE
QLD1,2025/08/01 09:10:00,7140.65,159.84,TRADE
QLD1,2025/08/01 09:15:00,7063.42,128.58,TRADE
QLD1,2025/08/01 09:20:00,7050.26,126.08,TRADE
QLD1,2025/08/01 09:25:00,6895,113.64,TRADE
QLD1,2025/08/01 09:30:00,6890.99,113.57,TRADE
QLD1,2025/08/01 09:35:00,6952.47,138.63,TRADE
